ShortName	CalculatedBy	CHEMINF_URI	Label	subClassOf	subClassName	Description	DOI	Comment	Note
BCUT		CHEMINF_001500	BCUT	CHEMINF_000092	Topological descriptors	Eigenvalue based descriptor noted for its utility in chemical diversity.	 http://dx.doi.org/10.1021/ci980137x		Topological 2D descriptors
bondPartialPiCharge		CHEMINF_001501	bond partial pi charge	CHEMINF_000087	electronic descriptor	Descriptor that calculates bond-pi Partial charge of a bond by determining the difference the Partial Pi Charge on atoms A and B of a bond (based in Gasteiger Charge).			charge density descriptor
bondPartialSigmaCharge		CHEMINF_001502	bond partial sigma charge	CHEMINF_000087	electronic descriptor	Descriptor that calculates bond-sigma Partial charge of a bond.			charge density descriptor
bondPartialTCharge		CHEMINF_001503	bond partial total charge	CHEMINF_000087	electronic descriptor	Descriptor that calculates bond-total Partial charge of a bond.			charge density descriptor
bondSigmaElectronegativity		CHEMINF_001504	bond sigma electronegativity	CHEMINF_000087	electronic descriptor	Descriptor that calculates of bond-Polarizability of a bond by determining the difference the Sigma electronegativity on atoms A and B of a bond.			electronic descriptor
bondsToAtom		CHEMINF_001505	bonds to Atom	CHEMINF_000092	topological descriptor	Descriptor based on the number of bonds on the shortest path between two atoms (topological distance).		This is the shortest distance between a pair of atoms in a graph, defined as the number of edges in the shortest path between the atom pair in the molecular graph.	
chiChain		CHEMINF_001506	chi chain indices	CHEMINF_000092	topological descriptor	Evluates the simple and valence chi chain descriptors (Kier and Hall) of orders 3, 4, 5, 6 and 7. 		It utilizes the graph isomorphism code of the CDK to find fragments matching SMILES strings representing the fragments corresponding to each type of chain.	Error at http://pele.farmbio.uu.se/nightly-1.2.x/dnames.html: ChiChain and ChiCluster have inverse descriptions
chiCluster		CHEMINF_001507	chi cluster indices	CHEMINF_000092	topological descriptor	Evluates the simple and valence chi cluster descriptors (Kier and Hall) of orders 3, 4,5 and 6.		 It utilizes the graph isomorphism code of the CDK to find fragments matching SMILES strings representing the fragments corresponding to each type of chain.	
chiPath		CHEMINF_001508	chi path indices	CHEMINF_000092	topological descriptor	Evaluates the Kier and Hall Chi path indices of orders 0,1,2,3,4,5,6 and 7.  		It utilizes the graph isomorphism code of the CDK to find fragments matching SMILES strings representing the fragments corresponding to each type of chain.	
chiPathCluster		CHEMINF_001509	chi path-cluster indices	CHEMINF_000092	topological descriptor	Evaluates the Kier and Hall Chi path cluster indices of orders 4,5 and 6.		It utilizes the graph isomorphism code of the CDK to find fragments matching SMILES strings representing the fragments corresponding to each type of chain.	
gravitationalIndex		CHEMINF_001510	gravitational Index	CHEMINF_000093	geometric descriptor	Descriptor characterizing the mass distribution of the molecule.	http://dx.doi.org/10.1021/jp953224q		
gravitationalIndex_SquareAndCubeRoots		CHEMINF_001511	gravitational index (square and cube roots)	CHEMINF_000093	geometric descriptor	Descriptor characterizing the mass distribution of the molecule as the square or cube root of the gravitational index.	http://dx.doi.org/10.1021/ci980029a		
hBondAcceptorsBoehmKlebe		CHEMINF_001512	acceptor field atoms (Boehm,Klebe)	CHEMINF_000087	electronic descriptor	Counts the number of acceptor field atoms for a carbonyl oxygen probe using force field based definition.	http://dx.doi.org/10.1021/jm011039x		
hBondacceptorsDaylight		CHEMINF_001513	hydrogen bond acceptors (Daylight)	CHEMINF_000087	electronic descriptor	Descriptor that calculates the number of hydrogen bond acceptors (by Daylight).		SMILES on-line tutorial, http://www.daylight.com/dayhtml_tutorials/languages/smarts/smarts_examples.html)	
hBondAcceptorsDonorsBoehmKlebe		CHEMINF_001514	acceptors or donors field atoms (Boehm,Klebe)	CHEMINF_000087	electronic descriptor	Counts the number of acceptor/donor field atoms for a carbonyl oxygen or amino hydrogen probe. 	http://dx.doi.org/10.1021/jm011039x		
hBondDonorsBoehmKlebe		CHEMINF_001515	donor field atoms (Boehm,Klebe)	CHEMINF_000087	electronic descriptor	Counts the number of donor field atoms for an amino hydrogen probe.	http://dx.doi.org/10.1021/jm011039x		
hBondDonorsDaylight		CHEMINF_001516	hydrogen bond donors (Daylight)	CHEMINF_000087	electronic descriptor	Descriptor that calculates the number of hydrogen bond donors (by Daylight).		SMILES on-line tutorial, http://www.daylight.com/dayhtml_tutorials/languages/smarts/smarts_examples.html)	
